Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3Code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
3749,Estimates,Gabon,,266,GAB,GA,266.0,Country/Area,911,1950.0,471.475,472.905,230.87,242.035,1.835,95.387,27.068,2.86,6.046,2.86,0.605,114.57,14.278,2.958,30.187,3.948,1.173,27.562,102.2,11.418,5.757,5.662,24.141,39.629,38.283,40.983,44.927,43.964,45.856,11.424,11.112,11.673,5.227,4.998,5.379,2.244,158.621,12.691,4.137,298.703,480.912,496.016,465.622,627.57,650.23,604.634,295.656,311.651,279.928,424.09,448.449,400.314,0,0
3821,Estimates,Sao Tome and Principe,,678,STP,ST,678.0,Country/Area,911,1950.0,60.426,60.975,33.895,27.079,63.516,125.17,23.684,1.404,22.941,1.098,1.801,38.487,2.944,0.191,48.11,6.227,1.839,28.117,102.7,1.54,0.812,0.728,25.169,40.07,39.416,40.687,44.914,44.853,44.903,11.296,11.169,11.391,4.977,4.794,5.096,0.477,168.327,2.597,0.808,297.159,472.937,477.574,469.747,620.707,629.569,612.204,293.376,291.965,296.362,421.483,426.267,417.495,-0.306,-5.001
3965,Estimates,Algeria,,12,DZA,DZ,12.0,Country/Area,912,1950.0,8892.792,9019.866,4613.613,4406.253,3.787,104.706,18.353,255.346,28.27,254.148,2.818,24.597,461.136,60.347,51.054,7.324,2.182,29.9,104.7,205.79,108.268,97.521,22.784,42.36,41.655,43.163,45.323,44.232,46.589,11.492,10.907,12.177,5.126,4.891,5.366,76.744,174.34,404.791,107.845,260.698,448.062,451.492,444.735,587.73,602.358,571.595,286.007,297.415,273.986,402.647,425.149,377.528,-1.201,-0.133
4037,Estimates,Egypt,,818,EGY,EG,818.0,Country/Area,912,1950.0,20928.82,21150.058,10731.764,10418.294,21.247,103.009,19.559,470.895,22.258,442.477,2.092,33.133,1146.681,183.712,54.2,6.994,1.746,28.563,105.8,675.786,358.275,317.511,31.942,35.367,33.865,36.994,49.619,46.671,52.926,11.557,10.659,12.426,5.041,4.769,5.279,320.3,275.214,925.505,518.862,441.157,519.977,532.265,507.869,635.652,673.351,595.509,180.239,224.053,133.562,322.183,393.2,245.031,-28.409,-1.343
4181,Estimates,Morocco,,504,MAR,MA,504.0,Country/Area,912,1950.0,8826.639,8946.209,4444.171,4502.038,20.045,98.715,18.253,233.724,26.123,239.139,2.673,25.931,457.065,85.991,51.085,6.485,1.912,28.677,104.6,223.341,115.741,107.6,24.962,39.101,38.15,40.069,41.877,40.979,42.796,10.172,9.693,10.6,4.48,4.282,4.651,85.225,189.724,398.965,120.502,284.324,475.048,480.411,469.864,659.821,681.251,637.786,341.886,356.233,327.558,496.558,524.298,468.21,5.412,0.605
4325,Estimates,Tunisia,,788,TUN,TN,788.0,Country/Area,912,1950.0,3573.092,3606.288,1792.598,1813.69,23.202,98.837,19.119,63.84,17.706,66.392,1.841,37.651,165.557,17.69,45.916,6.557,1.887,29.93,104.7,101.717,50.928,50.789,28.21,37.605,36.743,38.474,40.685,40.093,41.276,9.806,9.753,9.842,4.621,4.454,4.705,31.861,193.529,143.102,48.521,300.244,491.86,505.439,477.989,686.665,699.151,673.931,364.857,377.279,352.177,527.924,540.567,515.192,2.552,0.708
4541,Estimates,Botswana,,72,BWA,BW,72.0,Country/Area,913,1950.0,408.831,413.481,200.256,213.225,0.73,93.918,17.921,10.373,25.046,9.299,2.249,30.82,18.796,3.102,45.384,6.429,2.153,30.096,103.2,8.423,4.324,4.099,20.338,44.945,42.522,47.314,45.331,42.995,47.499,11.21,10.502,11.686,4.984,4.552,5.229,2.567,138.147,16.976,3.934,225.028,399.837,427.518,371.141,573.737,622.247,527.165,286.375,327.351,246.345,419.756,476.772,367.441,-1.078,-2.603
4613,Estimates,Eswatini,,748,SWZ,SZ,748.0,Country/Area,913,1950.0,268.201,271.642,132.208,139.435,15.645,94.817,17.287,7.903,29.028,6.883,2.534,27.354,13.745,2.495,50.486,6.732,2.19,29.256,102.9,5.842,2.997,2.845,21.458,42.973,41.497,44.43,43.852,42.732,44.916,10.5,10.232,10.697,4.559,4.417,4.657,2.018,148.401,12.315,3.101,238.874,422.975,441.231,404.783,604.953,631.965,578.037,308.563,329.86,287.931,450.646,479.524,422.777,-1.028,-3.776
4685,Estimates,Lesotho,,426,LSO,LS,426.0,Country/Area,913,1950.0,574.455,579.47,243.419,336.05,19.087,72.435,17.665,11.023,19.038,10.03,1.731,40.043,25.098,2.894,43.346,5.701,1.904,30.406,102.8,14.075,7.031,7.044,24.308,44.831,41.166,47.838,46.518,42.508,49.447,11.04,9.902,11.864,4.785,4.209,5.068,4.497,167.774,22.147,6.589,243.503,395.332,440.796,362.923,560.673,636.47,501.179,255.131,328.873,207.115,389.283,484.498,320.195,-0.985,-1.701
4973,Estimates,Benin,,204,BEN,BJ,204.0,Country/Area,914,1950.0,2256.437,2264.452,1055.458,1208.994,20.082,87.301,23.12,20.629,9.091,16.03,0.708,97.902,92.16,11.135,40.617,5.751,1.477,29.687,104.3,71.531,34.174,37.357,31.526,34.951,34.294,35.568,42.735,42.576,42.864,10.321,10.255,10.375,4.366,4.286,4.436,18.286,210.177,79.182,30.288,352.604,539.11,543.747,534.648,687.809,697.181,679.356,329.008,329.005,329.038,470.062,478.125,463.391,-4.602,-2.028
