Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3Code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
4113,Medium,Gabon,,266,GAB,GA,266.0,Country/Area,911,2022.0,2365.207,2388.992,1215.505,1173.488,9.272,103.58,21.666,46.569,19.496,47.571,1.991,34.814,64.022,9.889,26.803,3.46,1.606,28.465,102.1,17.453,9.958,7.496,7.307,65.694,63.361,68.359,53.838,51.677,56.323,12.874,11.956,13.8,5.846,5.538,6.118,1.885,29.465,62.375,2.539,39.75,103.781,119.846,86.55,279.297,324.194,228.032,122.978,147.367,95.551,243.633,287.564,193.488,1,0.419
4192,Medium,Sao Tome and Principe,,678,STP,ST,678.0,Country/Area,911,2022.0,225.155,227.38,113.407,113.972,236.854,99.504,18.553,5.041,22.136,4.449,1.957,35.419,6.37,1.021,27.974,3.751,1.772,28.74,102.7,1.329,0.752,0.578,5.838,68.794,66.054,71.938,55.173,52.472,58.274,13.903,12.3,15.537,6.369,5.658,6.838,0.08,12.589,6.3,0.096,15.215,78.427,89.367,67.51,240.917,285.699,191.45,115.612,136.798,93.303,224.997,269.71,175.669,-0.6,-2.635
4350,Medium,Algeria,,12,DZA,DZ,12.0,Country/Area,912,2022.0,44543.592,44903.225,22862.237,22040.987,18.853,103.726,28.015,729.261,16.243,719.266,1.602,43.268,923.648,18.468,20.572,2.829,1.342,31.337,104.6,194.387,103.969,90.417,4.329,77.129,75.853,78.457,63.904,62.756,65.093,17.473,16.848,18.075,7.505,7.289,7.684,15.423,16.646,910.05,18.567,19.853,41.491,46.321,36.401,99.266,114.342,83.302,38.562,44.63,32.151,78.036,91.602,63.708,-9.999,-0.223
4429,Medium,Egypt,,818,EGY,EG,818.0,Country/Area,912,2022.0,110132.806,110990.103,56124.592,54865.512,111.497,102.295,24.064,1744.592,15.717,1714.594,1.545,44.864,2453.941,209.498,22.107,2.878,1.368,27.74,105.4,709.349,382.589,326.76,6.39,70.159,67.869,72.557,56.604,54.362,58.942,12.322,11.06,13.412,5.253,4.604,5.648,39.322,16.016,2419.232,46.613,18.951,38.45,44.602,31.955,175.872,217.503,131.521,52.193,66.635,36.831,158.607,199.952,114.676,-29.998,-0.27
4587,Medium,Morocco,,504,MAR,MA,504.0,Country/Area,912,2022.0,37264.469,37457.971,18852.368,18605.603,83.93,101.326,28.984,427.012,11.395,387.003,1.033,67.1,643.109,38.021,17.161,2.299,1.095,30.26,104.7,216.097,120.766,95.331,5.766,74.973,72.896,77.177,61.434,59.492,63.488,15.724,14.403,17.037,6.716,6.031,7.238,9.272,14.402,634.624,10.889,16.845,38.551,43.72,33.172,119.019,141.26,96.26,42.048,48.317,35.661,101.435,121.984,80.565,-39.998,-1.067
4745,Medium,Tunisia,,788,TUN,TN,788.0,Country/Area,912,2022.0,12308.697,12356.117,6098.372,6257.745,79.496,97.453,32.026,98.841,7.999,94.84,0.768,90.254,192.759,2.777,15.6,2.064,0.98,30.981,105.2,93.918,53.525,40.392,7.601,74.263,71.367,77.408,60.671,57.816,63.765,15.35,13.546,17.211,6.523,5.646,7.222,2.617,13.537,190.468,3.128,16.013,42.937,53.248,32.714,126.011,160.813,91.201,49.241,65.491,33.295,108.969,143.233,74.869,-4,-0.324
4982,Medium,Botswana,,72,BWA,BW,72.0,Country/Area,913,2022.0,2607.583,2630.296,1298.807,1331.489,4.641,97.545,23.638,42.423,16.139,45.426,1.727,40.136,60.554,5.922,23.036,2.754,1.261,28.477,103.2,18.131,9.668,8.463,6.897,65.913,63.328,68.399,54.41,51.947,56.739,14.066,12.986,14.874,6.84,6.231,7.223,2.008,33.1,58.829,2.683,44.065,116.706,133.094,99.928,287.823,335.854,240.861,134.822,161.609,107.973,248.815,296.6,202.615,3,1.141
5061,Medium,Eswatini,,748,SWZ,SZ,748.0,Country/Area,913,2022.0,1197.454,1201.67,596.167,605.504,69.209,98.458,21.619,14.164,11.759,8.433,0.702,98.739,28.476,4.239,23.642,2.785,1.238,27.983,103,14.312,8.108,6.204,11.883,56.36,52.647,60.599,44.971,41.266,49.192,10.921,9.491,11.984,5.177,4.717,5.497,1.119,39.165,27.54,1.508,52.541,198.805,234.26,160.167,498.063,590.428,391.965,285.044,351.987,206.845,464.596,561.016,354.554,-5.733,-4.76
5140,Medium,Lesotho,,426,LSO,LS,426.0,Country/Area,913,2022.0,2294.313,2305.825,1137.496,1168.329,75.949,97.361,22.19,27.021,11.709,23.025,0.999,69.384,59.49,10.329,25.778,2.98,1.257,27.851,102.8,32.469,17.194,15.275,14.069,53.036,50.319,55.923,43.925,41.455,46.531,11.244,9.855,12.29,5.944,5.03,6.497,4.116,69.014,56.474,5.308,89.069,253.077,280.51,224.044,544.608,600.044,484.502,311.143,352.524,264.995,492.034,549.165,430.905,-4,-1.733
5456,Medium,Benin,,204,BEN,BJ,204.0,Country/Area,914,2022.0,13174.363,13352.864,6689.295,6663.569,118.418,100.386,17.527,357.203,26.748,357.002,2.674,25.922,481.715,62.62,36.071,4.895,2.061,29.145,104.1,124.512,65.672,58.84,9.323,59.954,58.265,61.676,51.826,50.407,53.243,12.4,11.757,12.963,5.287,4.914,5.56,26.146,54.396,460.723,39.152,82.504,193.982,208.236,179.176,352.458,381.668,322.706,162.656,178.243,146.93,274.401,301.966,246.828,-0.2,-0.015
